Acelerometroy;Acelerometroz;Giroscopiox;Giroscopioy;Giroscopioz;Magnetometrox;Magnetometroy;Magnetometroz;Actividades
7368608;13211738;-0.43493605;-0.92179567;-0.003054326;1.68;-48.66;1.92;Downstairs
70553403;13211738;-0.6554584;-11924089;-0.087964594;1.74;-48.84;2.04;Downstairs
61563973;24108016;-0.68936145;-0.9285152;-0.13255776;1.8;-49.02;26399999;Downstairs
5992953;3050958;-0.51159966;-0.17165314;-0.14874569;1.92;-49.02;26399999;Downstairs
6101916;32688835;-0.17806722;0.91599244;-0.07849618;1.8;-49079998;2.76;Downstairs
63198414;28466527;0.12522738;21200078;0.026572637;1.62;-49.26;2.7;Downstairs
57886477;15390993;0.24617869;3626707;0.031154128;13199999;-49.62;2.52;Downstairs
5952092;0.50395286;0.18051068;4138001;0.011301007;10799999;-49.68;2.46;Downstairs
84854765;-14165162;-0.064751714;4332562;0.11026118;0.9;-49.8;2.46;Downstairs
12857608;-40861044;-0.73945236;4209778;0.27885997;0.84;-50.1;23999999;Downstairs
14246883;-38136973;-0.70432764;39202278;0.20219639;0.78;-50.52;2.58;Downstairs
15745122;-37047346;-0.5002986;2947425;0.109650314;0.48;-50879997;2.46;Downstairs
15813224;-28330324;-0.4456262;16016886;0.21166481;0.35999998;-51;2.46;Downstairs
14764457;-0.6401563;-0.19700404;14556919;0.12186762;0.29999998;-51.18;23999999;Downstairs
13143636;-0.9125633;0.14813483;14999796;-0.40866885;-0.12;-51.84;23999999;Downstairs
11223166;-0.667397;-0.06780604;1638646;-0.49205196;-0.17999999;-52.14;2.34;Downstairs
9779409;-0.9942854;-0.22143865;16032158;-0.6065892;-0.48;-52.44;2.52;Downstairs
8825985;-14982382;-0.27000242;14724907;-0.5580254;-0.42;-52.86;2.46;Downstairs
58839903;-3445948;-0.26419923;15525141;-0.35033122;-0.53999996;-53699997;2.28;Downstairs
58839903;-3445948;-0.15699236;17626517;-0.093767814;-0.53999996;-53699997;2.28;Downstairs
5325556;-41542063;-0.027794369;16688838;0.3744604;-0.53999996;-54.66;2.22;Downstairs
55434813;-392266;-0.06047566;10580186;0.6609562;-0.65999997;-55079998;21599998;Downstairs
4903325;-27104492;-0.124311075;0.6808093;0.77824235;-0.9;-55.5;2.1;Downstairs
43176503;-0.17706452;-0.22388211;-0.016493361;10079277;-1.14;-55739998;1.86;Downstairs
43176503;-0.17706452;-0.20525073;-0.8054258;12644911;-1.38;-56039997;1.68;Downstairs
43176503;-0.17706452;-0.2733622;-10103711;11676689;-1.38;-56039997;1.68;Downstairs
8962189;33097446;-0.29077184;-0.5363397;0.8900307;-1.56;-56219997;1.5;Downstairs
9956474;33506055;0.018936822;0.5225952;0.829555;-2.04;-56579998;13199999;Downstairs
11904184;2969236;0.27916542;12895365;0.90377516;-2.58;-57;0.78;Downstairs
12408136;2315459;0.22510384;13680327;0.8350528;-3.72;-57239998;0.48;Downstairs
10705593;2083913;0.09254608;10100657;0.65209866;-48599997;-57.6;0.12;Downstairs
10623871;20566726;-0.06780604;0.10995574;0.29993483;-6.42;-57899998;0.17999999;Downstairs
11127824;2070293;-0.18600847;-0.34116822;0.03145956;-8.16;-58079998;-0.35999998;Downstairs
11059722;20975335;-0.20463985;-0.47708577;-0.15515977;-9.12;-58.26;-0.42;Downstairs
9997335;22201166;-0.05955936;-0.35063666;-0.3213151;-10559999;-58379997;-0.9;Downstairs
8785124;16753027;0.15943582;-0.086132;-0.48838675;-115199995;-58.62;-11999999;Downstairs
77908387;10487667;0.2452624;0.24465153;-0.51923543;-12.12;-58.8;-1.38;Downstairs
6238119;0.313268;0.29718593;0.40133846;-0.4718934;-12.3;-58.92;-14399999;Downstairs
4140586;0.6946377;0.12034045;0.30298916;-0.42943826;-12059999;-58.92;-1.5;Downstairs
15527196;15935807;0.04428773;-0.267559;-0.53023106;-11.82;-59.1;-1.68;Downstairs
0.24516626;18523673;-0.023518313;-0.13439035;-0.5662721;-11.46;-59.1;-1.56;Downstairs
-21656353;20294318;-0.23823744;0.106595986;-0.55680364;-10.74;-59.34;-13199999;Downstairs
-24789033;-0.4903325;-0.59803706;0.39461896;-0.5369505;-9719999;-59579998;-1.02;Downstairs
-0.54481393;-14165162;-0.65057147;10497719;-0.5174029;-8.88;-59879997;-0.59999996;Downstairs
7518432;-24244218;-0.23884831;16646078;-0.52534413;-8.22;-60.42;0.06;Downstairs
18891422;-55434813;0.043066;16597209;-0.12797627;-7.74;-61079998;0.84;Downstairs
19477097;-34187074;-0.17440203;18044959;0.3436117;-7.5;-61559998;1.68;Downstairs
19517958;-0.19068487;0.2773328;17959439;0.8167268;-7.62;-62.16;2.7;Downstairs
16494242;13211738;0.30024028;0.74036866;0.77732605;-78599997;-62.34;3.72;Downstairs
1374293;11849703;0.14752395;-23887885;0.1685988;-8099999;-62.46;4.2;Downstairs
9343558;12258313;-0.2950479;-30314188;-0.08246681;-8.7;-62579998;5.16;Downstairs
78317;10896279;-0.42241332;-27736337;-0.38331795;-9059999;-62579998;57599998;Downstairs
6769313;0.5720546;-0.20952678;-23365595;-0.5467244;-9.9;-62.46;7.02;Downstairs
5570722;0.7627395;0.08582657;-16453656;-0.52381694;-10.38;-62.1;8.04;Downstairs
509401;0.42223078;0.27855456;-0.9645562;-0.5137377;-10.5;-61.98;85199995;Downstairs
2669588;0.06810174;0.17684549;-0.41630468;-0.54733527;-10.5;-61.68;9719999;Downstairs
15799603;0.89894295;-0.029932396;0.064751714;-0.59864795;-10.44;-61199997;10.92;Downstairs
27240696;16753027;-0.13133603;0.39003745;-0.59131753;-10.26;-61079998;11.34;Downstairs
8117727;22201166;-0.12339478;0.51068336;-0.24862215;-9.96;-60719997;12;Downstairs
18128683;12803127;-0.14019357;0.5366451;0.2275473;-9719999;-60.42;12.42;Downstairs
19436235;42086873;0.062002823;0.8481864;0.625526;-9.48;-59.82;13259999;Downstairs
19504337;69191365;0.97249746;19874501;0.4288274;-9.42;-59.46;13.62;Downstairs
1688923;30373375;12483032;2719572;0.23823744;-9719999;-58859997;14.16;Downstairs
14314985;0.8580819;0.44806966;16111571;0.026572637;-10.08;-58.5;14.46;Downstairs
9929234;11849703;-0.09590584;0.50885075;-0.27763826;-10.86;-57.84;15;Downstairs
8090487;0.8580819;-0.31612277;-0.32986724;-0.5177083;-11639999;-57.3;15179999;Downstairs
5638824;0.7082581;-0.36193767;-0.5186246;-0.49357912;-12;-57059998;15.36;Downstairs
26559677;0.7354988;-0.07849618;-0.17287487;-0.3200934;-12.78;-56399998;15599999;Downstairs
0.50395286;12803127;-0.07269296;0.0711658;-0.2773328;-13259999;-56.34;15.66;Downstairs
-21247742;18115063;-0.30848694;0.464563;-0.23793201;-14.04;-56.16;15719999;Downstairs
-26968288;0.55843425;-0.59559363;11355985;-0.14905111;-14.34;-56.16;15839999;Downstairs
-13892754;-0.9670447;-0.8023715;16581937;0.04520403;-15059999;-55.98;15719999;Downstairs
29964764;-15118586;-0.64660084;18127426;0.21563543;-15.36;-55.8;15299999;Downstairs
58839903;-22882185;-0.4251622;14004086;0.3005457;-15.42;-55739998;14.88;Downstairs
14396708;-5339176;-0.17501289;11582005;0.55955255;-15719999;-55379997;14219999;Downstairs
19231932;-4903325;0.05131268;1287704;0.90408057;-16.5;-54899998;13.38;Downstairs
19490717;-16889231;0.39614612;13045027;15280794;-16.68;-54.66;12.9;Downstairs
16507862;18932283;0.301462;0.23304509;14138476;-17699999;-54.12;11.7;Downstairs
15104965;2192876;0.047647487;-17690657;0.904386;-18.06;-53.52;11.28;Downstairs
10760075;16889231;-0.40133846;-2615725;0.4859433;-19.32;-52.62;10559999;Downstairs
78180795;16889231;-0.7122689;-22748623;0.1863139;-20.22;-51.84;9.9;Downstairs
54890003;19885708;-0.58246;-16823229;-0.07971791;-20.64;-51.36;9719999;Downstairs
48897047;22201166;-0.28130344;-0.956615;-0.071776666;-21539999;-50.46;9.3;Downstairs
35957718;22473574;-0.2724459;0.063224554;0.018020526;-22199999;-50039997;9179999;Downstairs
23699405;14573772;-0.44135013;1106277;0.026267206;-22.5;-49.5;9059999;Downstairs
34187074;12122109;-0.5366451;19098701;-0.025045475;-22439999;-49.2;8.82;Downstairs
9752169;10215261;-0.34697145;21533;0.20250183;-22.74;-48899998;8.16;Downstairs
17474907;-0.14982383;-0.060170226;18020525;0.7626653;-22.56;-48.78;79199996;Downstairs
19463476;3636633;0.08674286;11948525;12272283;-22.38;-48239998;68999996;Downstairs
19517958;6891896;0.23732115;0.61636305;11869112;-22.56;-47.94;6;Downstairs
13919995;4031623;0.64904433;12696834;0.91813046;-22.8;-47.64;4.98;Downstairs
11413852;23971813;0.38912117;21248949;0.5699373;-22.92;-47579998;4.44;Downstairs
56660647;0.667397;-0.04642576;23564126;0.2510656;-23.4;-47219997;3;Downstairs
41814466;-0.027240695;-0.5225952;20619757;0.100792766;-23519999;-46.8;2.22;Downstairs
11168685;0.9670447;-0.7296785;14159856;0.38453966;-23699999;-46.44;0.71999997;Downstairs
0.08172209;10623871;-0.68325275;12400564;0.63071835;-23939999;-46.26;0.12;Downstairs
-10487667;0.667397;-0.6750061;17635679;0.7516697;-24;-45.96;-11999999;Downstairs
-12258313;0.5720546;-0.6469063;26196957;0.79443026;-24.3;-45719997;-1.86;Downstairs
-10351465;-0.24516626;-0.7089091;3089451;0.8188649;-24539999;-45.3;-3.48;Downstairs
45219555;-11304889;-0.8738427;30204232;0.7849618;-24.24;-44.82;-52799997;Downstairs
155135765;-16344417;-11414018;23961189;0.75686204;-24.06;-44.64;-6.24;Downstairs
19272793;-2083913;-13353515;1351234;11954633;-23.76;-43739998;-8.34;Downstairs
19490717;0.50395286;-17788396;0.50976706;17214183;-23519999;-43.26;-9.3;Downstairs
19517958;4031623;-0.3295618;-0.7855727;13735305;-23.4;-42.48;-11.16;Downstairs
17611109;42086873;0.2171626;0.043676864;0.5204572;-23.58;-41879997;-11.88;Downstairs
12380896;36638734;0.33750305;0.6087272;-0.18600847;-23699999;-40.8;-13.32;Downstairs
8825985;3486809;0.18570304;0.93401295;-0.3820962;-23.58;-39.84;-14.7;Downstairs
7641015;26968288;0.10934488;13515394;-0.40194935;-23.4;-39.12;-15.78;Downstairs
76137743;2315459;0.36102137;12275337;-0.28405234;-23.1;-38.82;-16.14;Downstairs
7082581;16344417;0.550695;-0.029626964;-0.13408493;-22.92;-38.34;-16.68;Downstairs
46853995;1607201;0.37812558;-17806722;-0.04184427;-22.8;-37.92;-17.1;Downstairs
2901134;14301366;0.10751228;-2071444;-0.17654006;-22.74;-37.86;-17.1;Downstairs
3759216;10351465;0.17989981;-0.68203104;-0.57604593;-22.56;-37.8;-17.16;Downstairs
6742072;11577295;0.4111123;0.21594086;-0.48808134;-22.5;-37.92;-17.16;Downstairs
13238978;17297841;0.31581733;0.46822822;-0.3100141;-21.9;-38.34;-17279999;Downstairs
18687117;26968288;0.26206118;-0.10873401;-0.25320363;-21.6;-38.7;-16.92;Downstairs
19504337;5448139;0.3576616;-0.65301496;0.048563786;-21.42;-39059998;-16.38;Downstairs
19517958;6851035;0.7367035;-0.4428773;-0.001221731;-21.42;-39.12;-16.26;Downstairs
12176591;43176503;11948525;0.5928447;-0.100792766;-21.66;-39.36;-15.96;Downstairs
83765135;0.89894295;10390818;0.9877691;-0.52320606;-21.66;-39.48;-15599999;Downstairs
70689607;0.47671217;0.42913285;0.28863382;-0.8744536;-21.42;-40.02;-15.24;Downstairs
73822284;0.9125633;-0.6133087;-0.8900307;-0.8958339;-21.18;-40.14;-15179999;Downstairs
8240311;17842655;-0.93828905;-11609493;-0.74097955;-20.58;-40.62;-14759999;Downstairs
78998017;21656353;-0.82772243;-0.86284715;-0.6020077;-20279999;-40.8;-145199995;Downstairs
6428804;29283748;-0.56382865;-0.2669481;-0.53786683;-20.16;-41.04;-14.28;Downstairs
5706926;31871614;-0.28099802;0.47769663;-0.49235737;-19.98;-41.16;-14.34;Downstairs
509401;30645783;-0.055588737;13295482;-0.40775254;-19439999;-41399998;-14759999;Downstairs
53119354;20566726;0.058643065;22110267;-0.20555615;-18539999;-41.76;-15179999;Downstairs
55434813;16889231;0.09468412;29455922;0.048563786;-17.58;-42059998;-15839999;Downstairs
6347082;11577295;0.15332718;33325753;0.23487769;-17.22;-42;-16.26;Downstairs
11890564;-273769;0.09468412;33374622;0.31887165;-16.14;-42.12;-16.92;Downstairs
13238978;-41542063;-0.25809056;34391713;0.2837469;-15.42;-42.18;-17.52;Downstairs
14927901;-54208984;-0.36651915;3651447;0.2761111;-14.16;-42.12;-18.18;Downstairs
18074202;-51212506;-0.43554693;36325102;0.56505036;-12.54;-42.18;-19199999;Downstairs
16507862;-18932283;-0.46486846;33341024;0.9505063;-10.8;-42;-20279999;Downstairs
15077724;-0.8308412;-0.4025602;2452013;10516045;-100199995;-41.94;-20.76;Downstairs
11059722;10351465;-0.35735616;14294246;10057896;-85199995;-41.7;-21.66;Downstairs
8635301;17570249;-0.32345316;0.8940013;0.8026769;-79199996;-41.52;-22.02;Downstairs
8635301;17570249;-0.2843578;10613784;0.50823987;-79199996;-41.52;-22.02;Downstairs
41814466;0.8580819;-0.29229903;16319265;0.3848451;-7.44;-41219997;-22.38;Downstairs
41814466;0.8580819;-0.29229903;16319265;0.3848451;-7.44;-41219997;-22.38;Downstairs
3255263;-24516625;-0.5155703;23133466;0.5354234;-6.66;-41.04;-22.68;Downstairs
3255263;-24516625;-0.5155703;23133466;0.5354234;-6.66;-41.04;-22.68;Downstairs
3255263;-24516625;-0.5155703;23133466;0.5354234;-6.66;-41.04;-22.68;Downstairs
10419566;-0.9942854;-0.5833763;0.19242255;0.8552113;-5.64;-40.92;-23039999;Downstairs
9711308;-0.12258313;-0.38912117;-0.5571091;0.464563;-4.08;-40.68;-23699999;Downstairs
980665;-0.313268;-0.29168814;-12311989;0.11789699;-3.48;-40559998;-24.06;Downstairs
8717023;-11168685;-0.2855795;-1328021;-0.07360926;-2.22;-40.26;-24.9;Downstairs
77227373;-0.8036005;-0.28008172;-14899004;-0.021380283;-1.8;-40.02;-25439999;Downstairs
58976107;0.20430522;-0.17684549;-17143933;0.018936822;-1.8;-39719997;-26039999;Downstairs
29556155;0.7354988;-0.129198;-17568485;-0.070249505;-1.86;-39.42;-26519999;Downstairs
-0.55843425;14028958;-0.2837469;-1459357;-0.21227567;-1.92;-39.12;-26.82;Downstairs
-30237172;2192876;-0.52198434;-0.9434814;-0.43371433;-21599998;-39.12;-27.18;Downstairs
-2587866;23290794;-0.4978552;-0.4175264;-0.61483586;-3.54;-38879997;-27.48;Downstairs
11059722;23971813;0.21868975;0.45081854;-0.68844515;-4.56;-38.64;-27539999;Downstairs
1846919;-0.29964766;0.46181414;0.7626653;-0.20158553;-5.1;-38.7;-27599998;Downstairs
19259172;75865335;-0.08093964;0.63041294;0.16218472;-5.46;-38.76;-27599998;Downstairs
19218311;9575105;13750577;-0.5320636;-0.52106804;-58199997;-38.76;-27.66;Downstairs
14069819;7913422;17916678;0.7305948;-0.464563;-6.06;-38.7;-27.48;Downstairs
11686258;4113345;12159272;12089024;-0.72326446;-5.94;-38.7;-27.3;Downstairs
9057531;20294318;0.43585235;1255328;-0.7086037;-58799996;-38879997;-27.3;Downstairs
43176503;29964764;0.086437434;11349876;-0.73273283;-5.58;-39239998;-26.88;Downstairs
29556155;25197644;0.1151481;0.42821655;-0.6261369;-5.52;-39.42;-26.82;Downstairs
-0.53119355;18932283;0.01160644;0.38515055;-0.63224554;-5.22;-39.6;-26699999;Downstairs
-32688835;23699405;-0.06811147;12425;-0.6017023;-42599998;-40.14;-26.58;Downstairs
-2547005;0.40861043;-0.024129177;15937474;-0.441961;-3.78;-40.2;-26.46;Downstairs
-0.9670447;-17434045;-0.10934488;20549507;-0.09101892;-31799998;-40.5;-26279999;Downstairs
5802268;-38681788;-0.28710666;20247128;0.22266038;-1.8;-40.86;-26.16;Downstairs
12585201;-5448139;-0.17654006;18542814;0.58123827;-10799999;-40.86;-25.92;Downstairs
16494242;-65513873;-0.21838433;16667458;0.98715824;-0.35999998;-40.92;-25.74;Downstairs
19272793;-626536;0.053450707;10650436;12901474;0.29999998;-41.04;-25.74;Downstairs
18496431;-4276789;0.32070425;0.63713247;1346347;1.14;-41.16;-25.68;Downstairs
13865514;-12394516;0.63713247;-0.061086524;10760391;1.68;-41.16;-25.74;Downstairs
11522814;156634;0.50732356;-15607607;0.74006325;2.58;-41219997;-25.5;Downstairs
9602345;2315459;-0.086132;-2773023;0.23854288;28799999;-41219997;-25.56;Downstairs
78317;28466527;-0.3622431;-24529295;0.06505715;3;-41219997;-25.5;Downstairs
53800373;28738933;-0.2883284;-1645671;-0.22632557;29399998;-41.16;-25.56;Downstairs
27785509;18932283;-0.08979719;-0.4981606;-0.45540005;2.76;-41.1;-25.5;Downstairs
38681788;13756552;-0.03268129;0.6591236;-0.53023106;2.46;-41.1;-25.32;Downstairs
62926006;1607201;-0.23060162;12935071;-0.44409904;2.22;-41.1;-25439999;Downstairs
17039055;1484618;-0.57543504;12538009;-0.1994475;2.1;-41.04;-25439999;Downstairs
19218311;24244218;-0.35185838;14440855;1349096;1.8;-40.98;-25439999;Downstairs
19449856;4004382;0.64843345;34593298;19214766;1.68;-40.92;-25.5;Downstairs
19517958;18932283;12644911;4593096;20980167;14399999;-40.92;-25.56;Downstairs
18891422;0.44947147;12962561;5030781;19929478;11999999;-40.98;-25439999;Downstairs
14519291;24789033;0.10995574;31422908;13573426;1.38;-41.1;-25.32;Downstairs
9738548;2506144;-0.61727935;0.73823065;0.7593055;1.5;-41.04;-25439999;Downstairs
4399372;0.87170225;-0.8570439;-0.38056904;0.3286455;2.28;-41.28;-25.56;Downstairs
29964764;0.92618364;-0.9981538;-0.49418998;0.098043874;2.7;-41.34;-25619999;Downstairs
10896279;11849703;-0.9837985;0.49113566;0.12003502;34199998;-41399998;-26039999;Downstairs
10896279;11849703;-0.84482664;0.9230174;0.16768251;34199998;-41399998;-26039999;Downstairs
0.095342435;0.81722087;-0.5522222;16530013;0.2012801;34199998;-41399998;-26039999;Downstairs
0.20430522;0.3405087;-0.5497787;2035403;0.18020524;43199997;-41219997;-26.4;Downstairs
0.61291564;-0.2860273;-0.6401868;19428569;0.1872302;4.74;-41.1;-26699999;Downstairs
1607201;-10623871;-10118983;15097535;0.2452624;4.92;-41.04;-27.06;Downstairs
1096438;-4862464;-13634512;-0.4550946;0.56169057;5.46;-41.04;-27.3;Downstairs
1724336;-77908387;-11575897;-13518448;0.7165449;5.94;-41.04;-27.66;Downstairs
19381754;-5325556;-0.41386122;-35030067;12815952;62999997;-41.04;-27.96;Downstairs
17120777;-10760075;0.8173377;-24972172;0.18509217;6.24;-40.92;-28.32;Downstairs
12993812;0.92618364;1675298;-0.958753;-0.3115413;6;-40.8;-29.46;Downstairs
11536434;2383561;14520267;-0.09987647;-0.88086766;58199997;-40.8;-29.64;Downstairs
9438901;49986677;0.9224065;-13313808;-1321607;5.58;-40.86;-30.06;Downstairs
5175732;5434519;0.58032197;-2125811;-12003502;52799997;-40.92;-30539999;Downstairs
30645783;3445948;0.4746423;-2198504;-11294898;52799997;-41.1;-30.66;Downstairs
26014864;10760075;0.23090707;-15060883;-1359786;4.98;-41.46;-30.72;Downstairs
44129925;10623871;0.21471913;-0.25320363;-17415768;4.92;-41.64;-30.66;Downstairs
11005241;12258313;0.6420194;0.9117164;-19315559;47999997;-41.82;-30599998;Downstairs
19395374;42495484;0.2773328;22467623;-0.52320606;47999997;-42.6;-30.3;Downstairs
17965239;5829509;-0.32803464;1724778;-0.042455133;4.92;-43.02;-30;Downstairs
14709975;32961242;0.4981606;0.70402217;0.08124508;5.04;-43.32;-29.64;Downstairs
11127824;-12803127;0.7244862;0.893085;-0.6591236;5.64;-43739998;-29279999;Downstairs
8539958;23699405;-0.73945236;0.31978795;-12357804;68999996;-44.34;-28.56;Downstairs
79270425;24244218;-13038919;-0.3491095;-0.9618073;7.74;-44.46;-28.56;Downstairs
7668256;196133;-1244027;0.2968805;-0.91996306;85199995;-44.52;-28.32;Downstairs
69191365;1293933;-0.85154617;0.8555168;-0.83169305;10139999;-44.46;-28199999;Downstairs
71098213;0.29964766;-0.44226643;0.7669413;-0.21227567;11.04;-44399998;-28.32;Downstairs
65922484;0.095342435;-0.2666427;0.6627888;0.59956425;11.82;-44399998;-28.32;Downstairs
6701211;1920469;-0.1863139;0.9822713;12284501;13.62;-44219997;-28.74;Downstairs
6197258;0.6401563;-0.65484756;3696651;0.8533788;15.66;-43.8;-29.16;Downstairs
6197258;0.6401563;-0.65484756;3696651;0.8533788;15.66;-43.8;-29.16;Downstairs
6197258;0.6401563;-0.65484756;3696651;0.8533788;15.66;-43.8;-29.16;Downstairs
6197258;0.6401563;-0.65484756;3696651;0.8533788;15.66;-43.8;-29.16;Downstairs
17039055;-5570722;-0.13103059;5952882;15085317;16.74;-43.2;-29.4;Downstairs
19218311;-8512717;-0.2782491;60677247;20592268;17279999;-43.02;-29519999;Downstairs
19504337;-68374147;-11175779;50576587;17721201;17.88;-42899998;-29.4;Downstairs
19517958;-0.8580819;-16719382;25326474;2031127;18779999;-42.78;-29099998;Downstairs
18510052;0.8580819;-17977765;0.15118915;19095647;19.14;-42719997;-28.8;Downstairs
13375181;19340894;-11578951;-0.73426;13817772;19.26;-42.84;-28.74;Downstairs
